2026-03-02 15:52:50 | ERROR    | __main__:search_by_grantee:356 - Request error for U4F: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:50 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: U4G
2026-03-02 15:52:51 | ERROR    | __main__:search_by_grantee:356 - Request error for U4G: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:51 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: V2X
2026-03-02 15:52:51 | ERROR    | __main__:search_by_grantee:356 - Request error for V2X: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:51 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: SS4
2026-03-02 15:52:51 | ERROR    | __main__:search_by_grantee:356 - Request error for SS4: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:51 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: HLE
2026-03-02 15:52:52 | ERROR    | __main__:search_by_grantee:356 - Request error for HLE: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:52 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AOJL
2026-03-02 15:52:52 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AOJL: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:52 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AC6A
2026-03-02 15:52:52 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AC6A: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:52 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AR9L
2026-03-02 15:52:53 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AR9L: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-02 15:52:53 | INFO     | __main__:run:596 - Crawl complete. Total: 0, New: 0
2026-03-02 15:52:53 | INFO     | __main__:run:597 - ============================================================
2026-03-03 00:00:01 | INFO     | __main__:init_database:165 - Database initialized at /home/node/.openclaw/workspace-shinji/fcc-monitor/data/fcc_monitor.db
2026-03-03 00:00:01 | INFO     | __main__:run:549 - ============================================================
2026-03-03 00:00:01 | INFO     | __main__:run:550 - FCC Monitor - Starting crawl cycle
2026-03-03 00:00:01 | INFO     | __main__:run:551 - ============================================================
2026-03-03 00:00:01 | INFO     | __main__:run:557 - Processing grantee code: UZ7
2026-03-03 00:00:01 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: UZ7
